Name,Author,Year,# of Words,"Parts, if available"
الآسيره,صمت الجروح أم مجتبـى,,24964,
إليك يامن زرعت في قلبي أزهار الربيع,أمك تجيبك وأنا أبتلي ,2003.0,20835,
مدرسة المشاغبين السبع ! ,وردة حمراء,2003.0,178800,
اعترافات رجل يكره يحب يعشق يبغض النساء,سهر الليالي,2004.0,39744,
بقراري ضيعت نفسي و أحبابي,الجوري ,2004.0,52384,
ذنبي إني لقيط,الـ ج ـوري,2004.0,32235,
غفلتي دفعتني حياتي,الجوري,2004.0,49554,
برد وجفا ونسمة هوى,وصيت قلبي عليك ,2005.0,119425,
رحلتي إلى النور,مازن الغامدي ,2005.0,80713,
صاحب الظل الطويل,إيمليا أمل ,2006.0,102875,
مسموح يامن ملكت الروح,,2006.0,140632,
أعياد بلا فرحة,ليتني غريبه,2007.0,101634,
لاقلت احبك اسكتي واحضنيني,عطر العبير,2007.0,78461,
سرقتك بالزمن لحظه .. وعشتك بالفراق أوقات,أميرة الورد 25,2007.0,166051,
علمني كيف أترك يدك في عز حبي لك,أميرة البنفسج,2007.0,163505,
الدم الي انطبع فوق خدي ما انمحا والكسر ما ينفعه تجبير ,دمعة ألم وابتسامه,2008.0,140865,
شفت الحبيبة ,احلى بدويه,2008.0,88840,
شهد الفهد,شهد الحربي,2008.0,59197,
انكساري ,دلووعةأهلهااو انشودة المطر,2008.0,195807,
ايام عمري,زحل ,2008.0,104270,
امرأة بشخصيات متعددة,هـــبــه وليد.( أحلى وردة جورية),2008.0,26730,
رجولتي تقدر تسميها النخيل .. لإني شامخ و العواصف قاتلة,أسيـــــــــــــــــــــرة أمواج,2008.0,31555,
لي غبت عني دمعتي تسأل تبيك,عذابها من خيالها ,2008.0,26827,
بعض ما خبأته الرياض,أبو بقية,2009.0,74086,
قرٍب كمان,şώέέţ ģίяℓ,2009.0,54735,
أضحك و أنا في داخلي مجروح,,2009.0,117107,
الفئة المجنونة,ديما القطبي,2009.0,140096,
